trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-40.94836332558754,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-120.75431992221806,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",20,0,-74.60713216469539,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-54.06342381643282,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.95}",20,0,-178.7823838223714,"{0: 8, 1: 5, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.94}",30,0,-139.81770241485341,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,7,-130.92242251686562,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-55.333431121390376,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-101.81569052180367,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-115.87393602463625,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",30,0,-180.7364763293378,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",25,0,-181.60815324684455,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-244.19788200598396,"{0: 18, 1: 1, 2: 4, 3: 3, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-83.64758154768273,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-29.59004854741408,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-101.5203812490481,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-138.14085129826822,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,8,-67.50335313783171,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-163.1895526480354,"{0: 10, 1: 3, 2: 2, 3: 3, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-66.31302440919143,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,-103.78549126689536,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-170.6767727278594,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,-57.96801351597752,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-90.89123592035264,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-88.0607804637587,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-231.4484245407427,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-36.995789232229875,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",30,0,-55.04492437106492,"{0: 21, 1: 2, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-235.9346730976875,"{0: 9, 1: 3, 2: 9, 3: 1, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",20,0,-73.30138090446397,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
